source,target,relation,dataset
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-60342cf4-f51d-43d8-8010-fff5da05c363,AssignmentRelationship,EA ModelSet
id-7c872e5d-aeeb-4d22-bde6-bf063a72aac2,id-7ecef382-27af-4bc5-beac-7415ed859849,AggregationRelationship,EA ModelSet
id-7ecef382-27af-4bc5-beac-7415ed859849,id-60342cf4-f51d-43d8-8010-fff5da05c363,AssignmentRelationship,EA ModelSet
id-7df69886-d887-4bcb-99ee-70b729be2dda,id-55240035-5741-49ce-b882-5144fff0cc04,AssignmentRelationship,EA ModelSet
id-50d2e03a-3143-4491-aed2-0979ece3f7f9,id-55240035-5741-49ce-b882-5144fff0cc04,AssignmentRelationship,EA ModelSet
id-53110c8b-2872-47c1-9a9a-c239b4a1f474,id-60342cf4-f51d-43d8-8010-fff5da05c363,AssignmentRelationship,EA ModelSet
id-53110c8b-2872-47c1-9a9a-c239b4a1f474,id-55240035-5741-49ce-b882-5144fff0cc04,AssignmentRelationship,EA ModelSet
id-15c922fc-e304-4eff-b6ba-0dd4029537bd,id-53110c8b-2872-47c1-9a9a-c239b4a1f474,AggregationRelationship,EA ModelSet
id-15c922fc-e304-4eff-b6ba-0dd4029537bd,b508d806-87bd-49ca-b6e4-77e4903a4361,AggregationRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,b508d806-87bd-49ca-b6e4-77e4903a4361,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-6fd20f9d-28cc-4b30-9887-6aed8c80a2d8,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-50d2e03a-3143-4491-aed2-0979ece3f7f9,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-7c872e5d-aeeb-4d22-bde6-bf063a72aac2,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,c07b13bc-5cb1-4855-8a80-8424cdb864d5,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-3e817a97-06ed-4d8e-a2db-668ab8f12b2a,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-53110c8b-2872-47c1-9a9a-c239b4a1f474,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-5620a936-fb9e-4340-9e5c-f8221415990e,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-7ecef382-27af-4bc5-beac-7415ed859849,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,e0358a6f-44f3-4b26-a172-9bad3ac58aae,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-88aa4013-16a5-4f6f-96fb-964d66c682e5,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-15c922fc-e304-4eff-b6ba-0dd4029537bd,CompositionRelationship,EA ModelSet
id-7aeb498f-e2b0-4e55-9edd-3b54d96c92c5,id-7df69886-d887-4bcb-99ee-70b729be2dda,CompositionRelationship,EA ModelSet
id-5620a936-fb9e-4340-9e5c-f8221415990e,id-75605bf0-0ddb-4198-8fe4-5cda9e8594dc,AssignmentRelationship,EA ModelSet
